name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Grace Zumwinkle,25,MIN,F,24,452.71666666666664,11,7,1,6,4,10.836813413927228,0.7951993520597873,1.4240738230250711,-1.291281106199178,-1.1853077080548422,0.574528702760077,0.39759967602989366,-0.27686531623164623,-0.011074612649265849,1.4362378341912905,0.10745615815621838,1.5436939923475088,6.184,0.811,6.995,8.33,1.163,9.493,1.823,0.255,2.078,0.275,0.3322,-0.0467,4.569,2023-24
Natalie Spooner,100,TOR,F,23,432.81666666666666,19,6,1,10,4,10.483785299383394,1.3862682429050022,1.2417261553883312,-0.8939778660318598,-0.7880044678875241,0.8,1.247641418614502,0.31684761639563014,0.012673904655825206,1.4533338625969507,0.09147435144457763,1.5448082140415285,6.036,0.66,6.696,8.087,0.997,9.084,1.77,0.218,1.988,0.276,0.3322,-0.0467,4.569,2023-24
Hilary Knight,13,BOS,F,23,498.54999999999995,5,3,2,6,6,9.506409284608443,0.7220940728111523,1.9448920828380998,-0.6813546201022578,-0.5753812219579221,0.4230769230769231,1.3238391334871127,0.5144943296975278,0.020579773187901114,1.144086966355444,0.07811789538369332,1.2222048617391374,4.383,0.649,5.032,6.746,1.037,7.783,1.476,0.227,1.703,0.205,0.3322,-0.0467,4.569,2023-24
Kendall Coyne Schofield,20,MIN,F,24,458.96666666666664,6,4,6,12,6,9.198173687107328,1.5687413755537802,1.4174830028196328,-0.6955647599850869,-0.5895913618407512,0.65,1.0458275837025204,0.3713625914409805,0.01485450365763922,1.2024629702079448,0.07381363984171435,1.2762766100496592,4.481,0.565,5.046,6.657,0.922,7.579,1.457,0.202,1.659,0.217,0.3322,-0.0467,4.569,2023-24
Laura Stacey,32,MTL,F,21,455.0333333333333,9,5,3,6,2,9.036104430810047,0.7911508314409201,1.6120051289166246,-0.858768031026653,-0.7527946328823173,0.5105841929948152,1.3185847190682003,-0.24276129298587534,-0.009710451719435013,1.1914869222370585,0.06556901156879671,1.2570559338058553,4.36,0.497,4.857,6.517,0.851,7.368,1.426,0.186,1.612,0.213,0.3322,-0.0467,4.569,2023-24
Hayley Scamurra,61,OTT,F,22,425.91666666666663,4,4,0,2,2,7.603257146593939,0.2817452553316377,1.2170099643506664,-0.9732466208835429,-0.8672732227392072,0.5384615384615384,1.5495989043240073,0.5664013245504809,0.022656052982019236,1.0710908130596042,0.10938337525593995,1.180474188315544,3.226,0.776,4.002,5.245,1.108,6.353,1.148,0.243,1.391,0.196,0.3322,-0.0467,4.569,2023-24
Sophie Jaques,11,BOS,D,6,105.68333333333334,0,0,0,-4,0,6.279026812589057,-2.2709351837249647,7.166304977864652,-4.9771849723434514e-05,0.10592362629461231,0.5298394239166777,5.677337959312411,3.605746355186922,0.1442298542074769,3.564815727065227,0.13363749157801566,3.698453218643243,5.193,0.235,5.428,5.694,0.318,6.012,1.246,0.07,1.316,0.747,0.3322,-0.0467,4.569,2023-24
Jessie Eldridge,36,NY,F,23,425.5833333333333,7,5,2,-10,10,7.201688599146977,-1.409829645584492,1.6166106493841204,-0.6560473734457171,-0.5500739753013814,0.472729039075736,1.1278637164675935,0.4514531310297365,0.018058125241189462,1.015315408534526,0.0730655227713276,1.0883809313058537,2.828,0.518,3.346,4.845,0.849,5.694,1.06,0.186,1.246,0.176,0.3322,-0.0467,4.569,2023-24
Blayre Turnbull,76,TOR,F,23,441.56666666666666,3,3,2,5,14,6.736920678950998,0.6793991092322791,1.3729546047477186,-0.8840756806489187,-0.778102282504583,0.4154411764705882,1.9023175058503812,0.9715237036315093,0.03886094814526037,0.9154115816495657,0.11667117639571867,1.0320827580452843,2.199,0.859,3.058,4.292,1.202,5.494,0.939,0.263,1.202,0.163,0.3322,-0.0467,4.569,2023-24
Taylor Heise,21,MIN,F,19,369.6166666666667,4,6,3,5,8,6.639248115334947,0.8116517112323579,1.4930547788486828,-0.6146283888144439,-0.5086549906701082,0.5732484076433121,1.4609730802182441,0.7865080879567042,0.03146032351826817,1.0777514188215633,0.08232582258527898,1.1600772414068423,2.841,0.507,3.348,4.593,0.795,5.388,1.005,0.174,1.179,0.191,0.3322,-0.0467,4.569,2023-24
Marie-Philip Poulin,31,MTL,F,20,437.3833333333333,10,6,7,9,14,6.9655048020386126,1.2346149449376975,1.4867034614055923,-0.6697339207248847,-0.563760522580549,0.478021978021978,1.783332698243341,0.22198668618926543,0.008879467447570618,0.9555240364035745,0.06525551970562551,1.0207795561092001,2.471,0.476,2.947,4.544,0.816,5.36,0.995,0.179,1.174,0.161,0.3322,-0.0467,4.569,2023-24
Alex Carpenter,34,NY,F,23,495.7833333333333,8,6,8,-9,0,7.450518265714183,-1.0891854640804115,1.6567746500690343,-0.33356072255037983,-0.22758732440604407,0.5055350553505535,0.8471442498403201,0.17073366440246307,0.006829346576098523,0.9016662438757206,0.02958807901670293,0.9312543228924235,2.355,0.244,2.599,4.706,0.63,5.336,1.03,0.138,1.168,0.141,0.3322,-0.0467,4.569,2023-24
Brianne Jenner,58,OTT,F,22,404.31666666666666,9,5,3,1,4,6.709219796545366,0.1483985325034008,1.227806109058746,-0.5919285269904273,-0.48595512884609154,0.6280487804878049,0.741992662517004,-0.2412049172565224,-0.009648196690260897,0.9956383720500974,0.03894731619434826,1.0345856882444457,2.554,0.262,2.816,4.471,0.577,5.048,0.979,0.126,1.105,0.164,0.3322,-0.0467,4.569,2023-24
