name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,FA60,FA60_resid,d_adj_FA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Laura Stacey,32,MTL,F,27,528.2166666666667,11,10,1,12,6,13.745176300028296,1.363077020162181,1.389401971982544,-1.2095634607174393,-1.0596296406760843,0.5882352941176471,1.4766667718423625,-1.119884735815634,-0.044795389432625364,1.5613111627205334,1.4386861075138926,2.999997270234426,8.327,12.666,20.993,10.923,16.98,27.903,2.163,3.363,5.526,0.628,0.3206,-0.4901,5.049,2024-25
Daryl Watts,63,TOR,F,29,524.6333333333333,12,8,7,-2,12,11.780350643455675,-0.22873117733019888,1.2989980155236294,-1.0474146152536694,-0.8974807952123145,0.5236565614794862,1.3723870639811933,-0.6492897508389045,-0.02597159003355618,1.3472667360200912,1.230501523263684,2.577768259283775,6.399,10.759,17.158,8.977,15.045,24.022,1.778,2.98,4.758,0.544,0.3206,-0.4901,5.049,2024-25
Tereza Vanišová,161,OTT,F,29,465.95,14,5,3,-2,36,12.433978392763162,-0.2575383624852452,1.7052733021289361,-1.1323621312280427,-0.9824283111866878,0.4545454545454545,0.3863075437278678,-1.4396235691041586,-0.05758494276416634,1.601113217224573,1.3178146928971965,2.9189279101217696,7.655,10.234,17.889,9.944,14.04,23.984,1.969,2.781,4.75,0.612,0.3206,-0.4901,5.049,2024-25
Kendall Coyne Schofield,20,MIN,F,28,506.8833333333333,10,5,6,12,4,12.243410923261324,1.4204452043534017,1.437801205404171,-0.8296708246303912,-0.6797370045890363,0.7058823529411765,1.183704336961168,-0.5660079559166502,-0.02264031823666601,1.4492578609062166,0.9289914881879847,2.3782493490942014,7.044,7.848,14.892,9.535,11.988,21.523,1.888,2.374,4.262,0.504,0.3206,-0.4901,5.049,2024-25
Marie-Philip Poulin,31,MTL,F,30,589.5,19,3,4,17,21,11.63627751819811,1.7302798982188297,1.3800017495391028,-0.6344522296158015,-0.4845184095744466,0.5807050092764379,2.9516539440203564,0.3551024363623597,0.014204097454494389,1.1843539458725811,0.6925298708587195,1.8768838167313007,5.59,6.804,12.394,8.486,11.619,20.105,1.681,2.301,3.982,0.405,0.3206,-0.4901,5.049,2024-25
Emily Clark,53,OTT,F,29,565.9499999999999,8,6,3,1,10,11.453967682516856,0.1060164325470448,1.591100995468275,-0.5601029528804629,-0.41016913283910794,0.5126735602673117,2.226345083487941,0.40041397065591455,0.016016558826236583,1.2143087922095794,0.5902533448009876,1.8045621370105671,5.649,5.568,11.217,8.43,10.19,18.62,1.67,2.018,3.688,0.391,0.3206,-0.4901,5.049,2024-25
Sophie Jaques,11,MIN,D,24,538.5,8,10,6,12,10,6.821369844181311,1.3370473537604457,1.4795414965165599,-0.9271842704412652,-0.7772504503999103,0.5147587522713617,3.0083565459610027,-0.5021311532161312,-0.02008524612864525,0.7600412082653272,1.0680653844312291,1.8281065926965563,1.298,9.586,10.884,3.944,13.984,17.928,0.781,2.77,3.551,0.396,0.3206,-0.4901,5.049,2024-25
Renata Fast,67,TOR,D,29,734.0833333333333,5,6,11,-1,36,5.904328072312731,-0.08173458962424793,1.2658574462874466,-0.6916475936694844,-0.5417137736281294,0.5236565614794862,4.004994891588149,0.22254267046873555,0.008901706818749423,0.482587831997408,0.7673009898981307,1.2498888218955386,-1.625,9.388,7.763,1.982,15.384,17.366,0.393,3.047,3.44,0.281,0.3206,-0.4901,5.049,2024-25
Blayre Turnbull,76,TOR,F,29,548.0666666666666,5,5,1,0,16,8.436868340575982,0.0,1.2420902132562939,-0.610269648053787,-0.4603358280124321,0.3914373088685015,1.532660260308965,-0.4890165545111328,-0.01956066218044531,0.923632344789975,0.6249094970369596,1.5485418418269346,2.815,5.708,8.523,5.508,10.185,15.693,1.091,2.017,3.108,0.34,0.3206,-0.4901,5.049,2024-25
Jesse Compher,65,TOR,F,29,501.3666666666667,8,4,4,1,10,8.022514546057645,0.11967289408948872,1.2633581338223263,-0.6232434663194448,-0.4733096462780899,0.4090909090909091,2.9918223522372185,0.9701455374171207,0.03880582149668483,0.9600775336017393,0.7014393262860107,1.66151685988775,2.88,5.861,8.741,5.344,9.956,15.3,1.058,1.972,3.03,0.363,0.3206,-0.4901,5.049,2024-25
