name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
Kristýna Kaltounková,245,NY,F,2,44.11666666666667,2,0,0,2,0,4.492819142392634,2.7200604457876842,4.497402855042738,-0.7632495386912499,-0.6451084364287669,0.6428571428571429,0.0,0.0,0.0,6.110369819649974,0.0645108436428767,6.174880663292851,4.07,0.047,4.117,4.3,0.071,4.371,0.954,0.016,0.97,1.319,0.262,-0.0326,4.508
Kristýna Kaltounková,245,NY,F,4,86.68333333333334,4,1,0,1,12,4.492819142392634,0.6921745818111902,2.288910855085201,-0.32431062123915266,-0.20616951897666963,0.6428571428571429,0.0,0.0,0.0,3.109815211038931,0.020616951897666963,3.130432162936598,3.662,0.03,3.692,4.114,0.077,4.191,0.913,0.017,0.93,0.644,0.262,-0.0326,4.508
Daryl Watts,63,TOR,F,4,65.96666666666667,1,1,1,-4,0,4.2977538932224375,-3.638201111672562,2.5161357833871856,-1.1941170313567882,-1.0759759290943052,0.4826928958693229,0.0,0.0,0.0,3.9090232480042384,0.10759759290943052,4.016620840913669,3.665,0.118,3.783,4.01,0.154,4.164,0.89,0.034,0.924,0.84,0.262,-0.0326,4.508
Laura Stacey,32,MTL,F,15,297.68333333333334,2,5,1,4,10,4.931777426255462,0.8062258552152736,0.4799126209324084,-0.5886807693609347,-0.4705396670984517,0.5111888264445568,0.0,0.0,0.0,0.9940316183035477,0.04705396670984517,1.0410855850133929,2.078,0.233,2.311,3.632,0.395,4.027,0.806,0.088,0.894,0.18,0.262,-0.0326,4.508
Natalie Spooner,100,TOR,F,16,277.5333333333333,3,2,1,-5,2,4.593768448335744,-1.080951237088638,0.6037342677197005,-0.6953321986723796,-0.5771910964098965,0.4166666666666667,0.0,0.0,0.0,0.9931279374254552,0.057719109640989655,1.0508470470664448,1.933,0.267,2.2,3.382,0.418,3.8,0.75,0.093,0.843,0.182,0.262,-0.0326,4.508
Kristýna Kaltounková,245,NY,F,10,187.65,5,0,0,0,19,4.492819142392634,0.0,1.057343046211753,-0.0795358877077863,0.03860521455469673,0.6428571428571429,0.0,0.0,0.0,1.4365528832590353,-0.0038605214554696733,1.4326923618035656,2.694,-0.012,2.682,3.673,0.09,3.763,0.815,0.02,0.835,0.267,0.262,-0.0326,4.508
Daryl Watts,63,TOR,F,11,202.5,5,2,1,3,0,4.2977538932224375,0.888888888888889,0.819659706226048,-0.5651537417924699,-0.4470126395299869,0.4826928958693229,0.0,0.0,0.0,1.2734085609547963,0.04470126395299869,1.318109824907795,2.356,0.151,2.507,3.413,0.261,3.674,0.757,0.058,0.815,0.241,0.262,-0.0326,4.508
Emily Clark,53,OTT,F,3,47.666666666666664,1,1,1,-1,0,3.7236397584661582,-1.2587412587412588,4.774452632753426,0.4424469896068173,0.5605880918693003,0.5091584771817329,0.0,0.0,0.0,4.687098996670689,-0.05605880918693003,4.631040187483759,3.267,-0.045,3.222,3.515,-0.019,3.496,0.78,-0.004,0.776,0.977,0.262,-0.0326,4.508
Jesse Compher,65,TOR,F,5,73.33333333333333,1,0,0,-6,0,3.4349389402429553,-4.909090909090909,2.2444471393275474,-0.23567513020367636,-0.11753402794119333,0.5892857142857143,0.0,0.0,0.0,2.810404587471509,0.011753402794119334,2.8221579902656284,2.732,0.014,2.746,3.115,0.054,3.169,0.691,0.012,0.703,0.575,0.262,-0.0326,4.508
Sarah Fillier,205,NY,F,6,114.9,1,1,0,-2,0,3.417671057021914,-1.0443864229765012,1.602795394411848,-0.40826546441968103,-0.290124362157198,0.4111111111111111,0.0,0.0,0.0,1.7846846250767177,0.029012436215719802,1.8136970612924375,2.316,0.056,2.372,2.916,0.118,3.034,0.647,0.026,0.673,0.351,0.262,-0.0326,4.508
Kendall Coyne Schofield,20,MIN,F,15,250.66666666666666,10,5,1,13,0,3.8288246036225373,3.111702127659574,0.5545337048733361,-0.4137894258658593,-0.2956483236033763,0.5242021329662908,0.0,0.0,0.0,0.916473974271352,0.02956483236033763,0.9460388066316896,1.426,0.124,1.55,2.734,0.26,2.994,0.606,0.058,0.664,0.159,0.262,-0.0326,4.508
Ella Huber,243,BOS,F,5,69.7,0,0,0,-1,0,3.0271078871083836,-0.860832137733142,1.6392445986174924,-0.9056136507191199,-0.787472548456637,0.4890567507619902,0.0,0.0,0.0,2.6058317536083644,0.0787472548456637,2.684579008454028,2.359,0.091,2.45,2.723,0.129,2.852,0.604,0.029,0.633,0.545,0.262,-0.0326,4.508
Emily Clark,53,OTT,F,13,228.16666666666666,1,0,0,-4,2,3.7236397584661582,-1.051862673484295,0.997438606988663,-0.06302702494259871,0.055114077319884325,0.5091584771817329,0.0,0.0,0.0,0.979189417858157,-0.005511407731988433,0.9736780101261686,1.536,-0.021,1.515,2.727,0.103,2.83,0.605,0.023,0.628,0.165,0.262,-0.0326,4.508
Sarah Fillier,205,NY,F,9,186.31666666666666,0,4,4,0,2,3.417671057021914,0.0,0.9884311162962055,-0.4190530601440189,-0.30091195788153585,0.4111111111111111,0.0,0.0,0.0,1.1006007518811067,0.030091195788153585,1.1306919476692603,1.631,0.093,1.724,2.604,0.195,2.799,0.578,0.043,0.621,0.2,0.262,-0.0326,4.508
Grace Zumwinkle,25,MIN,F,15,248.18333333333334,6,3,0,-3,4,3.6104609111938903,-0.7252702974951313,0.5508571363076578,-0.3789789157690818,-0.2608378135065988,0.5242021329662908,0.0,0.0,0.0,0.8728533530520451,0.02608378135065988,0.8989371344027051,1.231,0.108,1.339,2.527,0.243,2.77,0.561,0.054,0.615,0.149,0.262,-0.0326,4.508
Jesse Compher,65,TOR,F,11,193.98333333333335,3,2,0,-1,6,3.4349389402429553,-0.3093049231033594,0.8484893386924313,-0.0893826593301964,0.028758442932286632,0.5892857142857143,0.0,0.0,0.0,1.062443524776582,-0.0028758442932286634,1.0595676804833534,1.575,-0.009,1.566,2.588,0.096,2.684,0.574,0.021,0.595,0.184,0.262,-0.0326,4.508
Abby Boreen,114,VAN,F,16,277.21666666666664,4,1,0,-3,6,3.6128898239836555,-0.6493116094510913,0.6717283550336087,-0.30151838164143774,-0.1833772793789547,0.4736842105263157,0.0,0.0,0.0,0.7819637687934324,0.01833772793789547,0.8003014967313279,0.955,0.085,1.04,2.402,0.235,2.637,0.533,0.052,0.585,0.127,0.262,-0.0326,4.508
Ella Huber,243,BOS,F,9,129.95000000000002,1,1,1,-2,4,3.0271078871083836,-0.9234320892651018,0.8792254599741378,-0.5996498830573891,-0.48150878079490605,0.4890567507619902,0.0,0.0,0.0,1.3976642803116814,0.04815087807949061,1.445815158391172,1.781,0.104,1.885,2.46,0.175,2.635,0.546,0.039,0.585,0.27,0.262,-0.0326,4.508
Julia Gosling,210,SEA,F,14,254.21666666666664,6,4,2,2,8,3.4964100964364273,0.4720382875499902,0.7055088114480902,-0.3667208211035885,-0.24857971884110547,0.4488275570097946,0.0,0.0,0.0,0.8252197172471737,0.024857971884110548,0.8500776891312842,1.059,0.105,1.164,2.386,0.243,2.629,0.529,0.054,0.583,0.138,0.262,-0.0326,4.508
Rebecca Leslie,72,OTT,F,6,116.76666666666665,5,2,0,3,0,3.1344441794697624,1.541535826434485,2.0336279432701403,0.41604294601095027,0.5341840482734332,0.5091584771817329,0.0,0.0,0.0,1.6106193328705602,-0.05341840482734333,1.5572009280432169,2.015,-0.104,1.911,2.625,-0.041,2.584,0.582,-0.009,0.573,0.294,0.262,-0.0326,4.508
Marie-Philip Poulin,31,MTL,F,15,300.95,7,3,4,3,18,3.732953776442592,0.5981059976740323,0.47893787313674263,-0.11212795309183621,0.006013149170646825,0.6162790697674418,0.0,0.0,0.0,0.7442340142434143,-0.0006013149170646826,0.7436326993263496,0.848,-0.003,0.845,2.419,0.16,2.579,0.537,0.035,0.572,0.114,0.262,-0.0326,4.508
