Season,name,player_id,team,position,GP,toi_min,oWAR,box_dWAR,xga_dWAR,dWAR,WAR
2023-24,Natalie Spooner,100,TOR,F,23,432.81666666666666,1.344,0.477,0.047,0.047,1.391
2023-24,Kendall Coyne Schofield,20,MIN,F,24,458.9666666666666,0.98,0.628,0.074,0.074,1.054
2023-24,Grace Zumwinkle,25,MIN,F,24,452.7166666666666,1.007,0.229,0.024,0.024,1.031
2023-24,Hayley Scamurra,61,OTT,F,22,425.9166666666666,0.881,0.363,0.058,0.058,0.9390000000000001
2023-24,Jessie Eldridge,36,NY,F,23,425.5833333333333,0.832,0.08,0.05,0.05,0.882
2023-24,Hilary Knight,13,BOS,F,23,498.55,0.743,0.599,0.088,0.088,0.831
2023-24,Laura Stacey,32,MTL,F,21,455.0333333333333,0.806,0.424,0.018,0.018,0.8240000000000001
2023-24,Alex Carpenter,34,NY,F,23,495.7833333333333,0.78,0.27,0.041,0.041,0.8210000000000001
2023-24,Marie-Philip Poulin,31,MTL,F,20,437.3833333333333,0.632,0.649,0.054,0.054,0.686
2023-24,Emily Clark,53,OTT,F,22,409.51666666666665,0.661,0.463,-0.005,-0.005,0.656
2023-24,Sarah Nurse,75,TOR,F,23,429.8333333333333,0.565,0.26,0.062,0.062,0.627
2023-24,Daryl Watts,63,OTT,F,22,377.26666666666665,0.614,0.153,0.007,0.007,0.621
2023-24,Blayre Turnbull,76,TOR,F,23,441.56666666666666,0.503,0.359,0.098,0.098,0.601
2023-24,Gabbie Hughes,57,OTT,F,22,411.55,0.598,0.415,-0.001,-0.001,0.597
2023-24,Kristin O'Neill,30,MTL,F,21,390.5,0.521,0.061,0.063,0.063,0.5840000000000001
2023-24,Kelly Pannek,23,MIN,F,24,480.0,0.434,0.725,0.146,0.146,0.58
2023-24,Brianne Jenner,58,OTT,F,22,404.31666666666666,0.565,0.302,0.006,0.006,0.571
2023-24,Jamie Lee Rattray,16,BOS,F,23,369.4,0.518,0.035,0.044,0.044,0.562
2023-24,Denisa Křížová,104,MIN,F,24,382.9333333333333,0.498,-0.059,0.012,0.012,0.51
2023-24,Jade Downie-Landry,35,NY,F,23,319.21666666666664,0.455,0.066,0.048,0.048,0.503
2023-24,Taylor Heise,21,MIN,F,19,369.6166666666667,0.414,0.309,0.081,0.081,0.495
2023-24,Maureen Murphy,98,MTL,F,22,379.6833333333333,0.461,0.135,-0.001,-0.001,0.46
2023-24,Alina Müller,15,BOS,F,23,455.5,0.449,0.612,-0.004,-0.004,0.445
2023-24,Michela Cava,115,MIN,F,24,360.0833333333333,0.379,0.154,0.037,0.037,0.416
2023-24,Hannah Brandt,1,BOS,F,23,403.75,0.282,-0.09,0.096,0.096,0.378
2023-24,Sophie Jaques,11,MIN,D,15,387.56666666666666,0.33,0.157,0.023,0.023,0.35300000000000004
2023-24,Emma Maltais,73,TOR,F,23,432.3,0.32,0.577,0.029,0.029,0.34900000000000003
2023-24,Liz Schepers,97,MIN,F,19,234.7,0.326,-0.03,0.022,0.022,0.34800000000000003
2023-24,Abby Boreen,114,MIN,F,9,148.91666666666666,0.344,0.068,0.003,0.003,0.347
2023-24,Tereza Vanišová,161,MTL,F,16,262.7833333333333,0.352,0.038,-0.006,-0.006,0.346
2023-24,Elizabeth Giguère,37,NY,F,23,290.4833333333333,0.327,-0.41,0.015,0.015,0.342
2023-24,Loren Gabel,8,BOS,F,17,226.6,0.331,0.016,0.006,0.006,0.337
2023-24,Sidney Morin,167,BOS,D,23,428.0,0.348,0.013,-0.013,-0.013,0.33499999999999996
2023-24,Hannah Miller,89,TOR,F,22,331.35,0.309,0.366,0.01,0.01,0.319
2023-24,Jaime Bourbonnais,87,NY,D,23,578.4333333333333,0.266,0.236,0.019,0.019,0.28500000000000003
2023-24,Susanna Tapani,78,BOS,F,16,332.21666666666664,0.245,0.661,0.028,0.028,0.273
2023-24,Abby Roque,42,NY,F,23,473.01666666666665,0.261,-0.134,-0.001,-0.001,0.26
2023-24,Alexandra Labelle,39,NY,F,23,243.65,0.198,0.334,0.054,0.054,0.252
2023-24,Brittyn Fleming,105,MIN,F,23,272.05,0.216,0.238,0.028,0.028,0.244
2023-24,Sarah Bujold,81,MTL,F,19,263.78333333333336,0.199,-0.261,0.039,0.039,0.23800000000000002
2023-24,Rebecca Leslie,72,TOR,F,23,243.1,0.202,0.088,0.034,0.034,0.23600000000000002
2023-24,Sophie Shirley,18,BOS,F,19,245.31666666666663,0.188,-0.114,0.022,0.022,0.21
2023-24,Catherine Dubois,157,MTL,F,19,192.9333333333333,0.184,-0.12,0.022,0.022,0.206
2023-24,Susanna Tapani,78,MIN,F,9,148.8,0.184,0.423,0.021,0.021,0.205
