PlayerID,Name,Team,pos,api_gp,blocks
100,Natalie Spooner,TOR,F,24,9
75,Sarah Nurse,TOR,F,24,10
31,Marie-Philip Poulin,MTL,F,21,13
34,Alex Carpenter,NY,F,24,7
44,Ella Shelton,NY,D,24,15
58,Brianne Jenner,OTT,F,24,5
25,Grace Zumwinkle,MIN,F,24,3
73,Emma Maltais,TOR,F,24,6
32,Laura Stacey,MTL,F,23,10
88,Kateřina Mrázová,OTT,F,23,7
83,Erin Ambrose,MTL,D,24,27
63,Daryl Watts,OTT,F,24,5
20,Kendall Coyne Schofield,MIN,F,24,8
15,Alina Müller,BOS,F,24,0
98,Maureen Murphy,MTL,F,24,6
23,Kelly Pannek,MIN,F,24,17
53,Emily Clark,OTT,F,24,4
12,Megan Keller,BOS,D,24,22
89,Hannah Miller,TOR,F,23,3
36,Jessie Eldridge,NY,F,24,8
35,Jade Downie-Landry,NY,F,24,7
42,Abby Roque,NY,F,24,2
87,Jaime Bourbonnais,NY,D,24,14
21,Taylor Heise,MIN,F,19,9
78,Susanna Tapani,BOS,F,26,4
67,Renata Fast,TOR,D,24,16
57,Gabbie Hughes,OTT,F,24,4
56,Savannah Harmon,OTT,D,24,7
161,Tereza Vanišová,OTT,F,23,3
49,Lexie Adzija,BOS,F,24,1
13,Hilary Knight,BOS,F,24,11
16,Jamie Lee Rattray,BOS,F,24,4
1,Hannah Brandt,BOS,F,24,12
61,Hayley Scamurra,OTT,F,24,11
11,Sophie Jaques,MIN,D,22,10
71,Jocelyne Larocque,TOR,D,23,16
26,Claire Dalton,MTL,F,20,7
30,Kristin O'Neill,MTL,F,23,14
76,Blayre Turnbull,TOR,F,24,14
72,Rebecca Leslie,TOR,F,24,5
51,Amanda Boulier,MTL,D,23,19
115,Michela Cava,MIN,F,24,3
69,Brittany Howard,TOR,F,23,2
62,Aneta Tejralová,OTT,D,23,23
24,Lee Stecklein,MIN,D,24,14
33,Chloé Aurard-Bushee,NY,F,21,1
8,Loren Gabel,BOS,F,17,0
50,Ashton Bell,OTT,D,24,19
9,Taylor Girard,BOS,F,23,7
17,Theresa Schafzahl,BOS,F,20,2
66,Maggie Connors,TOR,F,24,4
68,Kali Flanagan,TOR,D,24,12
104,Denisa Křížová,MIN,F,24,1
157,Catherine Dubois,MTL,F,21,5
156,Gabrielle David,MTL,F,23,7
90,Natalie Buchbinder,MIN,D,24,12
142,Natalie Snodgrass,OTT,F,23,5
79,Maggie Flaherty,MIN,D,24,10
74,Allie Munroe,TOR,D,24,22
84,Kati Tabin,MTL,D,24,26
114,Abby Boreen,MIN,F,9,0
168,Mélodie Daoust,MTL,F,6,2
18,Sophie Shirley,BOS,F,20,2
138,Mikyla Grant-Mentis,MTL,F,13,2
80,Ann-Sophie Bettez,MTL,F,15,2
125,Victoria Bach,TOR,F,16,3
86,Emma Woods,NY,F,24,1
65,Jesse Compher,TOR,F,24,6
38,Brooke Hobson,NY,D,24,13
158,Sarah Lefort,MTL,F,24,4
60,Jincy Roese,OTT,D,24,19
81,Sarah Bujold,MTL,F,21,8
37,Élizabeth Giguère,NY,F,24,3
159,Leah Lum,MTL,F,23,0
2,Emily Brown,BOS,D,24,18
27,Jillian Dempsey,MTL,F,24,7
109,Gigi Marvin,BOS,F,24,1
167,Sidney Morin,BOS,D,24,9
45,Kayla Vespa,NY,F,23,4
7,Kaleigh Fratkin,BOS,D,24,8
103,Sophia Kunin,MIN,F,24,2
14,Nicole Kosta,BOS,F,10,1
102,Claire Butorac,MIN,F,21,2
10,Jess Healey,BOS,D,22,3
39,Alexandra Labelle,NY,F,24,7
52,Zoe Boyd,OTT,D,16,7
97,Liz Schepers,MIN,F,19,2
47,Micah Zandee-Hart,NY,D,19,17
55,Becca Gilmore,OTT,F,22,10
40,Paetyn Levis,NY,F,23,3
5,Jessica DiGirolamo,BOS,D,24,24
99,Mariah Keopple,MTL,D,24,26
117,Abby Cook,BOS,D,18,1
126,Samantha Cogan,TOR,F,23,6
141,Akane Shiga,OTT,F,24,2
101,Alexa Vasko,TOR,F,24,10
29,Kennedy Marchment,MTL,F,9,0
149,Jill Saulnier,NY,F,18,4
105,Brittyn Fleming,MIN,F,23,3
110,Amanda Pelkey,BOS,F,23,4
163,Catherine Daoust,MTL,D,24,11
162,Madison Bizal,MTL,D,21,16
129,Mellissa Channell-Watkins,MIN,D,24,12
54,Kristin Della Rovere,OTT,F,9,0
137,Fanni Garát-Gasparics,OTT,F,15,0
91,Brooke Bryant,MIN,F,22,5
175,Kelly Babstock,BOS,F,4,0
92,Sydney Brodt,MIN,F,7,0
46,Olivia Zafuto,NY,D,13,1
164,Brigitte Laganière,MTL,D,17,3
131,Olivia Knowles,TOR,D,20,4
147,Savannah Norcross,NY,F,20,0
116,Clair DeGeorge,MIN,F,23,3
148,Madison Packer,NY,F,23,5
128,Kaitlin Willoughby,TOR,F,23,4
4,Shiann Darkangelo,OTT,F,24,0
133,Lauriane Rougeau,TOR,D,24,9
144,Victoria Howran,OTT,D,1,0
153,Carley Olivier,NY,D,1,0
140,Malia Schneider,OTT,F,2,0
146,Alexa Gruschow,NY,F,4,1
127,Jess Jones,TOR,F,5,0
82,Dominika Lásková,MTL,D,7,0
160,Alexandra Poznikoff,MTL,F,8,1
107,Sammy Davis,OTT,F,9,0
108,Samantha Isbell,OTT,F,10,3
165,Maude Poulin-Labelle,TOR,D,11,0
119,Dominique Kremer,MIN,D,12,2
136,Rosalie Demers,OTT,F,13,2
3,Emma Buckles,OTT,D,15,3
111,Taylor Wenczkowski,BOS,F,16,1
152,Johanna Fällman,NY,D,21,4
150,Taylor Baker,NY,D,22,13
118,Emma Greco,MIN,D,22,16
