player_id,name,team,position,oz_fo,dz_fo,nz_fo,n_fo,ozs_pct,season
1,Hannah Brandt,BOS,C,133,197,180,510,0.403030303030303,2023-24
2,Emily Brown,BOS,RD,1,1,1,3,0.5298394239166777,2023-24
4,Shiann Darkangelo,BOS,C,32,44,35,111,0.42105263157894735,2023-24
5,Jessica DiGirolamo,BOS,LD,0,0,1,1,0.5298394239166777,2023-24
9,Taylor Girard,BOS,LW,2,0,0,2,0.5298394239166777,2023-24
11,Sophie Jaques,BOS,RD,0,0,2,2,0.5298394239166777,2023-24
13,Hilary Knight,BOS,RW,44,60,40,144,0.4230769230769231,2023-24
15,Alina Müller,BOS,C,63,62,85,210,0.504,2023-24
16,Jamie Lee Rattray,BOS,LW,33,5,17,55,0.868421052631579,2023-24
17,Theresa Schafzahl,BOS,LW,3,2,1,6,0.5298394239166777,2023-24
18,Sophie Shirley,BOS,RW,1,1,0,2,0.5298394239166777,2023-24
20,Kendall Coyne Schofield,MIN,LW,13,7,6,26,0.65,2023-24
21,Taylor Heise,MIN,C,180,134,181,495,0.5732484076433121,2023-24
23,Kelly Pannek,MIN,C,224,220,186,630,0.5045045045045045,2023-24
24,Lee Stecklein,MIN,LD,0,1,0,1,0.574528702760077,2023-24
25,Grace Zumwinkle,MIN,RW,7,1,1,9,0.574528702760077,2023-24
26,Claire Dalton,MTL,RW,0,2,2,4,0.5105841929948152,2023-24
27,Jillian Dempsey,MTL,C,29,33,39,101,0.46774193548387094,2023-24
29,Kennedy Marchment,MTL,LW,1,2,1,4,0.5105841929948152,2023-24
30,Kristin O'Neill,MTL,C,141,188,131,460,0.42857142857142855,2023-24
31,Marie-Philip Poulin,MTL,C,174,190,182,546,0.47802197802197804,2023-24
32,Laura Stacey,MTL,RW,4,3,2,9,0.5105841929948152,2023-24
33,Chloé Aurard-Bushee,NY,LW,3,2,2,7,0.472729039075736,2023-24
34,Alex Carpenter,NY,C,137,134,144,415,0.5055350553505535,2023-24
35,Jade Downie-Landry,NY,C,80,83,62,225,0.49079754601226994,2023-24
36,Jessie Eldridge,NY,RW,2,1,1,4,0.472729039075736,2023-24
37,Élizabeth Giguère,NY,RW,1,3,2,6,0.472729039075736,2023-24
38,Brooke Hobson,NY,LD,0,1,0,1,0.472729039075736,2023-24
39,Alexandra Labelle,NY,C,24,49,46,119,0.3287671232876712,2023-24
40,Paetyn Levis,NY,RW,1,0,0,1,0.472729039075736,2023-24
42,Abby Roque,NY,C,118,122,99,339,0.49166666666666664,2023-24
