name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Grace Zumwinkle,25,MIN,F,24,452.71666666666664,11,7,1,6,4,10.836813413927228,0.7951993520597873,1.4778005316783158,-1.2110452087837436,-1.1026014377255267,0.574528702760077,0.39759967602989366,-0.27686531623164623,-0.011074612649265849,1.4362378341912905,0.09918553112328682,1.5354233653145772,6.184,0.748,6.932,8.33,1.082,9.412,1.823,0.237,2.06,0.273,0.3322,-0.0442,4.569,2023-24
Natalie Spooner,100,TOR,F,23,432.81666666666666,19,6,1,10,4,10.483785299383394,1.3862682429050022,1.2260678431379992,-0.9900011468485885,-0.8815573757903715,0.8,1.247641418614502,0.31684761639563014,0.012673904655825206,1.4533338625969507,0.10082964223486238,1.5541635048318132,6.036,0.727,6.763,8.087,1.046,9.133,1.77,0.229,1.999,0.277,0.3322,-0.0442,4.569,2023-24
Hilary Knight,13,BOS,F,23,498.54999999999995,5,3,2,6,6,9.506409284608443,0.7220940728111523,1.8420649798985202,-0.6857153381647336,-0.5772715671065166,0.4230769230769231,1.3238391334871127,0.5144943296975278,0.020579773187901114,1.144086966355444,0.07830692989855279,1.2223938962539969,4.383,0.651,5.034,6.746,1.018,7.764,1.476,0.223,1.699,0.204,0.3322,-0.0442,4.569,2023-24
Kendall Coyne Schofield,20,MIN,F,24,458.96666666666664,6,4,6,12,6,9.198173687107328,1.5687413755537802,1.4715924796970592,-0.6505759265195183,-0.5421321554613013,0.65,1.0458275837025204,0.3713625914409805,0.01485450365763922,1.2024629702079448,0.06906771920376936,1.2715306894117142,4.481,0.528,5.009,6.657,0.867,7.524,1.457,0.19,1.647,0.215,0.3322,-0.0442,4.569,2023-24
Laura Stacey,32,MTL,F,21,455.0333333333333,9,5,3,6,2,9.036104430810047,0.7911508314409201,1.6312111466430161,-0.7825988495214096,-0.6741550784631926,0.5105841929948152,1.3185847190682003,-0.24276129298587534,-0.009710451719435013,1.1914869222370585,0.05770505612688425,1.2491919783639427,4.36,0.438,4.798,6.517,0.773,7.29,1.426,0.169,1.595,0.21,0.3322,-0.0442,4.569,2023-24
Hayley Scamurra,61,OTT,F,22,425.91666666666663,4,4,0,2,2,7.603257146593939,0.2817452553316377,1.183889496044191,-0.9625443143781054,-0.8541005433198884,0.5384615384615384,1.5495989043240073,0.5664013245504809,0.022656052982019236,1.0710908130596042,0.10806610731400808,1.1791569203736123,3.226,0.767,3.993,5.245,1.081,6.326,1.148,0.237,1.385,0.195,0.3322,-0.0442,4.569,2023-24
Sophie Jaques,11,BOS,D,6,105.68333333333334,0,0,0,-4,0,6.279026812589057,-2.2709351837249647,7.001291929345776,-0.13010691360654558,-0.021663142548328587,0.5298394239166777,5.677337959312411,3.605746355186922,0.1442298542074769,3.564815727065227,0.14639616846230974,3.7112118955275366,5.193,0.258,5.451,5.694,0.336,6.03,1.246,0.074,1.32,0.749,0.3322,-0.0442,4.569,2023-24
Jessie Eldridge,36,NY,F,23,425.5833333333333,7,5,2,-10,10,7.201688599146977,-1.409829645584492,1.5254815352491684,-0.6721657856384076,-0.5637220145801906,0.472729039075736,1.1278637164675935,0.4514531310297365,0.018058125241189462,1.015315408534526,0.07443032669920852,1.0897457352337345,2.828,0.528,3.356,4.845,0.842,5.687,1.06,0.184,1.244,0.175,0.3322,-0.0442,4.569,2023-24
Blayre Turnbull,76,TOR,F,23,441.56666666666666,3,3,2,5,14,6.736920678950998,0.6793991092322791,1.3045935537440214,-0.8502140053958152,-0.7417702343375981,0.4154411764705882,1.9023175058503812,0.9715237036315093,0.03886094814526037,0.9154115816495657,0.11303797157902018,1.0284495532285858,2.199,0.832,3.031,4.292,1.157,5.449,0.939,0.253,1.192,0.162,0.3322,-0.0442,4.569,2023-24
Alex Carpenter,34,NY,F,23,495.7833333333333,8,6,8,-9,0,7.450518265714183,-1.0891854640804115,1.5184126502308897,-0.4123924431640593,-0.3039486721058423,0.5055350553505535,0.8471442498403201,0.17073366440246307,0.006829346576098523,0.9016662438757206,0.03722421378668275,0.9388904576624033,2.355,0.308,2.663,4.706,0.673,5.379,1.03,0.147,1.177,0.142,0.3322,-0.0442,4.569,2023-24
