Name,PlayerID,Team,position,GP,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
Laura Stacey,32,MTL,F,27,528.2166666666667,11,10,1,12,6,9.46645663984656,1.363077020162181,0.790260895493565,0.790260895493565,1.0752924590113784,0.2844939223776834,1.3597863813890618,5.643,2.505,8.148,7.534,4.553,12.087,1.492,0.902,2.394,0.272,0.2195,-0.2327,5.0492
Marie-Philip Poulin,31,MTL,F,30,589.5,19,3,4,17,21,7.1896862544354505,1.7302798982188297,1.335886331979258,1.335886331979258,0.7317746823852875,0.4809190795125329,1.2126937618978204,2.923,4.725,7.648,5.033,7.011,12.044,0.997,1.389,2.386,0.243,0.2195,-0.2327,5.0492
Sarah Fillier,205,NY,F,28,568.3166666666666,12,10,7,9,35,7.707037618832018,0.9501744919205843,1.145540021247677,1.145540021247677,0.813670061520727,0.4123944076491637,1.2260644691698905,3.593,3.906,7.499,5.628,6.11,11.738,1.115,1.21,2.325,0.245,0.2195,-0.2327,5.0492
Kendall Coyne Schofield,20,MIN,F,28,506.8833333333333,10,5,6,12,4,8.776800597602518,1.4204452043534017,0.681678876025802,0.681678876025802,1.0389136932025471,0.2454043953692887,1.284318088571836,5.108,2.073,7.181,6.922,4.039,10.961,1.371,0.8,2.171,0.257,0.2195,-0.2327,5.0492
Hannah Miller,89,TOR,F,28,504.5333333333333,10,7,5,14,8,5.05962752128154,1.6649048625792813,1.8386898959429663,1.8386898959429663,0.6016998902158279,0.6619283625394679,1.2636282527552958,1.408,5.566,6.974,3.214,7.523,10.737,0.637,1.49,2.127,0.253,0.2195,-0.2327,5.0492
Hilary Knight,13,BOS,RW,28,625.1833333333333,15,7,4,-1,12,8.890108811231519,-0.09597184825784438,-0.20232182276781485,-0.20232182276781482,0.8532001738272366,-0.07283585619641333,0.7803643176308233,4.365,-0.759,3.606,6.603,1.666,8.269,1.308,0.33,1.638,0.157,0.2195,-0.2327,5.0492
Emily Clark,53,OTT,F,29,565.9499999999999,8,6,3,1,10,7.911896746762036,0.1060164325470448,-0.05490097297537981,-0.05490097297537978,0.8387910677722806,-0.01976435027113672,0.8190267175011439,3.815,-0.186,3.629,5.841,2.008,7.849,1.157,0.398,1.555,0.165,0.2195,-0.2327,5.0492
Daryl Watts,63,TOR,F,29,524.6333333333333,12,8,7,-2,12,8.247537304218916,-0.22873117733019888,-0.2323386274746025,-0.23233862747460246,0.9432344588343637,-0.08364190589085688,0.8595925529435069,4.45,-0.731,3.719,6.328,1.303,7.631,1.253,0.258,1.511,0.173,0.2195,-0.2327,5.0492
Jennifer Gardiner,198,MTL,F,30,525.75,5,8,5,10,2,4.768957909376365,1.1412268188302426,0.8442351980909077,0.8442351980909077,0.5442462664052913,0.30392467131272677,0.848170937718018,0.963,2.663,3.626,2.845,4.702,7.547,0.563,0.931,1.494,0.17,0.2195,-0.2327,5.0492
Alex Carpenter,34,NY,F,25,518.0,12,8,1,4,0,4.743464568188238,0.46332046332046334,0.7959286959412595,0.7959286959412595,0.549436050369294,0.2865343305388534,0.8359703809081473,0.994,2.474,3.468,2.848,4.483,7.331,0.564,0.888,1.452,0.168,0.2195,-0.2327,5.0492
