name,player_id,team,pos,gp,toi_min,ixG,FA,ixG60,FA60,FA60_resid,d_adj_FA60,blocks60,blocks60_adj,block_val60,d_value60,value60,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60
Kristýna Kaltounková,245,NY,LW,16,318.45000000000005,6.626000000000001,31.83797196634762,1.2484220442769667,5.998675829740484,0.19878509028269586,0.19878509028269586,0.0,0.08603199870155415,0.003441279948062166,-0.004311338572962974,1.2441107057040037,5.045,0.09,5.135,1.119,0.02,1.139,0.215
Laura Stacey,32,MTL,RW,15,297.6833333333334,6.085999999999999,25.985912858213997,1.2266726387100382,5.237628704415787,0.1472516894999506,0.1472516894999506,0.604669391411455,0.008939235827938985,0.0003575694331175594,-0.005385246457380514,1.2212873922526577,4.608,0.079,4.687,1.022,0.018,1.04,0.21
Natalie Spooner,100,TOR,RW,16,277.53333333333336,5.321999999999999,26.678596787487106,1.150564496757146,5.767652440244629,0.039921923199264464,0.03992192319926446,0.8647609896709104,0.642147636557724,0.02568590546230896,0.024128950457537646,1.1746934472146837,3.944,0.21,4.154,0.875,0.047,0.922,0.199
Sarah Fillier,205,NY,LW,15,301.21666666666664,5.474,29.83579444271348,1.090377911802136,5.943056492766477,0.10879387003028808,0.10879387003028808,0.0,0.08603199870155415,0.003441279948062166,-0.0008016809831190692,1.0895762308190169,3.978,0.103,4.081,0.882,0.023,0.905,0.18
Kendall Coyne Schofield,20,MIN,LW,15,250.66666666666674,4.989000000000001,24.85724295581291,1.1941755319148935,5.949871984104153,0.13672431571975918,0.13672431571975918,0.2393617021276595,-0.3423298291601303,-0.013693193166405212,-0.01902544147947582,1.1751500904354177,3.744,0.01,3.754,0.83,0.002,0.832,0.199
Daryl Watts,63,TOR,LW,15,268.46666666666664,4.704,27.166047204963434,1.0513037000248324,6.071378814121454,0.3220607792987533,0.3220607792987533,0.0,-0.2226133531131865,-0.00890453412452746,-0.02146490451717884,1.0298387955076536,3.371,-0.0,3.371,0.748,-0.0,0.748,0.167
Hilary Knight,13,SEA,RW,14,285.1,4.118,30.17059699271971,0.866643283058576,6.349476743469598,0.04026296790597278,0.04026296790597277,2.946334619431778,2.5824984865028533,0.10329993946011413,0.10172968371178119,0.9683729667703571,2.702,0.585,3.287,0.599,0.13,0.729,0.153
Emily Clark,53,OTT,LW,16,275.8333333333333,4.450000000000001,30.193456208929014,0.9679758308157103,6.567760867199061,0.1355301794949474,0.1355301794949474,0.0,0.04066370438890832,0.0016265481755563327,-0.003659128824746616,0.9643167019909636,3.08,0.081,3.161,0.683,0.018,0.701,0.152
Brianne Jenner,58,OTT,RW,16,305.4833333333333,4.476,33.14792547493474,0.8791314310655247,6.510586049962631,0.0590332318489043,0.05903323184890429,0.0,0.04066370438890832,0.0016265481755563327,-0.0006757478665509347,0.8784556831989738,2.959,0.105,3.064,0.656,0.023,0.679,0.133
Julia Gosling,210,SEA,LW,14,254.2166666666667,4.218,26.994828641226373,0.9955287484429292,6.371296342254962,0.09011294088557548,0.09011294088557548,0.0,-0.36383613292892486,-0.014553445317156995,-0.01806785001169444,0.9774608984312347,2.956,0.014,2.97,0.656,0.003,0.659,0.156
Rebecca Leslie,72,OTT,RW,16,294.59999999999997,4.272,32.034722116917756,0.8700610997963342,6.524383323201174,0.07085786388401105,0.07085786388401105,0.0,0.04066370438890832,0.0016265481755563327,-0.0011369085159200982,0.8689241912804141,2.809,0.099,2.908,0.623,0.022,0.645,0.131
Marie-Philip Poulin,31,MTL,C,15,300.95,4.168,26.369793321510095,0.8309685994351222,5.257310514339943,0.08087466992017,0.08087466992017,0.9968433294567204,0.4011131738732044,0.016044526954928175,0.012890414828041544,0.8438590142631638,2.674,0.172,2.846,0.593,0.038,0.631,0.126
Jesse Compher,65,TOR,RW,16,267.3166666666667,3.9650000000000003,26.30785610099612,0.8899557329010536,5.904874491151943,0.12046604578161291,0.12046604578161291,0.8978115842633578,0.6751982311501713,0.027007929246006854,0.02230975346052395,0.9122654863615776,2.638,0.195,2.833,0.585,0.043,0.628,0.141
Alex Carpenter,34,SEA,C,14,284.9333333333333,4.17,30.233414823617125,0.8781001403837156,6.366418657289522,0.059696551340899184,0.05969655134089918,0.0,-0.36383613292892486,-0.014553445317156995,-0.016881610819452064,0.8612185295642636,2.755,0.021,2.776,0.611,0.005,0.616,0.13
Abby Boreen,114,VAN,RW,16,277.21666666666664,4.042,28.971956792586667,0.8748391751337702,6.270609297980641,0.09247484588633531,0.09247484588633531,0.6493116094510913,0.16997611463601367,0.006799044585440547,0.0031925255958734702,0.8780317007296436,2.666,0.113,2.779,0.591,0.025,0.616,0.133
