name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,FA60,FA60_resid,d_adj_FA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Natalie Spooner,100,TOR,F,16,277.5333333333333,3,2,1,-5,2,4.630003035639575,-1.080951237088638,0.5840953776600478,-0.713753065061875,-0.5434536823107897,0.4166666666666667,0.8647609896709105,0.7940051509345423,0.031760206037381694,1.0009615018197497,0.7925953612724873,1.793556863092237,1.99,3.666,5.656,3.459,5.781,9.24,0.767,1.282,2.049,0.443,0.2532,-0.4572,4.508,2025-26
Laura Stacey,32,MTL,F,15,297.68333333333334,2,5,1,4,10,4.898249630987623,0.8062258552152736,0.5719581412908356,-0.6419408411317414,-0.4716414583806562,0.5111888264445568,0.6046693914114551,0.07404079782245017,0.002961631912898007,0.9872738744502236,0.6632596736458166,1.6505335480960404,2.067,3.291,5.358,3.642,5.559,9.201,0.808,1.233,2.041,0.411,0.2532,-0.4572,4.508,2025-26
Sophie Jaques,11,VAN,D,16,365.2833333333333,4,2,1,-3,0,2.9783899543423464,-0.4927681708262993,0.6326042204295157,-0.6289560682397493,-0.458656685488664,0.49572222805211874,1.8068166263630974,0.5505854175014689,0.022023416700058758,0.48921858993623435,0.6641427763841884,1.1533613663204227,-0.496,4.043,3.547,1.437,6.827,8.264,0.319,1.514,1.833,0.301,0.2532,-0.4572,4.508,2025-26
Daryl Watts,63,TOR,F,11,202.5,5,2,1,3,0,4.243966625763891,0.888888888888889,0.8151496781137548,-0.6864616477403298,-0.5161622649892446,0.4826928958693229,0.0,-0.07075583873636826,-0.0028302335494547306,1.2574715928189306,0.7197969374354876,1.9772685302544182,2.318,2.429,4.747,3.389,3.973,7.362,0.752,0.881,1.633,0.484,0.2532,-0.4572,4.508,2025-26
Haley Winn,246,BOS,D,14,391.8833333333333,1,4,3,-1,2,2.2694491569607043,-0.15310679198741123,0.5472429380011583,-0.5745206938108878,-0.4042213110598025,0.49572222805211874,0.0,-1.2919039201494975,-0.0516761568059799,0.3474680800007883,0.5142336786777436,0.8617017586785319,-1.458,3.359,1.901,0.616,6.345,6.961,0.137,1.407,1.544,0.236,0.2532,-0.4572,4.508,2025-26
Kendall Coyne Schofield,20,MIN,F,15,250.66666666666666,10,5,1,13,0,3.8377514091121068,3.111702127659574,0.6025489156272482,-0.5339340887951928,-0.3636347060441075,0.5242021329662908,0.23936170212765961,-0.1260379958637234,-0.005041519834548936,0.9186107096278979,0.5040470686272016,1.4226577782550995,1.453,2.106,3.559,2.78,4.016,6.796,0.617,0.891,1.508,0.361,0.2532,-0.4572,4.508,2025-26
Megan Keller,12,BOS,D,14,375.75,5,3,3,-1,0,1.9990970901798217,-0.1596806387225549,0.5470923798608239,-0.5468096765189271,-0.37651029376784184,0.49572222805211874,1.7564870259481038,0.4645831057986063,0.01858332423194425,0.31921710022831484,0.5456977355069227,0.8649148357352375,-1.575,3.417,1.842,0.413,6.281,6.694,0.092,1.393,1.485,0.237,0.2532,-0.4572,4.508,2025-26
Daryl Watts,63,TOR,F,4,65.96666666666667,1,1,1,-4,0,4.243966625763891,-3.638201111672562,2.502291204922213,-1.566075568051363,-1.3957761853002777,0.4826928958693229,0.0,-0.07075583873636826,-0.0028302335494547306,3.8601010239388596,1.951256425870934,5.811357449809794,3.617,2.145,5.762,3.966,2.648,6.614,0.88,0.587,1.467,1.334,0.2532,-0.4572,4.508,2025-26
Kristýna Kaltounková,245,NY,F,10,187.65,5,0,0,0,19,4.513414568915188,0.0,1.0770708190742901,-0.48827216095718495,-0.3179727782060997,0.6428571428571429,0.0,0.33449578497951565,0.013379831399180626,1.4431381515316348,0.4585417208877202,1.901679872419355,2.729,1.434,4.163,3.722,2.864,6.586,0.826,0.635,1.461,0.467,0.2532,-0.4572,4.508,2025-26
Grace Zumwinkle,25,MIN,F,15,248.18333333333334,6,3,0,-3,4,3.6276928541361313,-0.7252702974951313,0.6000845964602927,-0.4953802757353002,-0.32508089298421494,0.5242021329662908,0.48351353166342087,0.11811383367203784,0.004724553346881514,0.8770192918467579,0.4598378035247824,1.3368570953715402,1.267,1.902,3.169,2.58,3.793,6.373,0.572,0.841,1.413,0.342,0.2532,-0.4572,4.508,2025-26
Kristýna Kaltounková,245,NY,F,4,86.68333333333334,4,1,0,1,12,4.513414568915188,0.6921745818111902,2.3316170644025065,-0.8914890559920217,-0.7211896732409364,0.6428571428571429,0.0,0.33449578497951565,0.013379831399180626,3.124070841779403,1.0230453739364915,4.1471162157158945,3.689,1.478,5.167,4.148,2.139,6.287,0.92,0.474,1.394,0.965,0.2532,-0.4572,4.508,2025-26
Abby Boreen,114,VAN,F,16,277.21666666666664,4,1,0,-3,6,3.654563468169811,-0.6493116094510913,0.6350302734100362,-0.41323738091355033,-0.24293799816246509,0.4736842105263157,0.6493116094510913,0.4164470450112323,0.016657881800449293,0.7909834957861673,0.3567710792279004,1.1477545750140679,1.018,1.648,2.666,2.485,3.761,6.246,0.551,0.834,1.385,0.3,0.2532,-0.4572,4.508,2025-26
Kristýna Kaltounková,245,NY,F,2,44.11666666666667,2,0,0,2,0,4.513414568915188,2.7200604457876842,4.581314828846783,-1.6145521959312878,-1.4442528131802026,0.6428571428571429,0.0,0.33449578497951565,0.013379831399180626,6.138380222174037,2.035333769851464,8.173713992025501,4.094,1.497,5.591,4.327,1.833,6.16,0.96,0.407,1.367,1.859,0.2532,-0.4572,4.508,2025-26
Marie-Philip Poulin,31,MTL,F,15,300.95,7,3,4,3,18,3.6995800090491406,0.5981059976740323,0.5324125893791347,-0.3569073190529979,-0.18660793630191264,0.6162790697674418,0.9968433294567204,0.46621473586771534,0.018648589434708613,0.7375803307624138,0.27989970025738625,1.0174800310198,0.837,1.404,2.241,2.43,3.697,6.127,0.539,0.82,1.359,0.271,0.2532,-0.4572,4.508,2025-26
