name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Daryl Watts,63,TOR,F,4,65.96666666666667,1,1,1,-4,0,4.2977538932224375,-3.638201111672562,2.5161357833871856,-1.340024750869346,-1.1965799700483954,0.4826928958693229,0.0,0.0,0.0,3.9090232480042384,0.11965799700483955,4.028681245009078,3.691,0.132,3.823,4.01,0.164,4.174,0.89,0.036,0.926,0.842,0.262,-0.0292,4.508,2025-26
Laura Stacey,32,MTL,F,15,297.68333333333334,2,5,1,4,10,4.931777426255462,0.8062258552152736,0.4799126209324084,-0.6868207885454808,-0.5433760077245304,0.5111888264445568,0.0,0.0,0.0,0.9940316183035477,0.054337600772453046,1.0483692190760008,2.192,0.27,2.462,3.632,0.414,4.046,0.806,0.092,0.898,0.181,0.262,-0.0292,4.508,2025-26
Natalie Spooner,100,TOR,F,16,277.5333333333333,3,2,1,-5,2,4.593768448335744,-1.080951237088638,0.6037342677197005,-0.6761569914244138,-0.5327122106034634,0.4166666666666667,0.0,0.0,0.0,0.9931279374254552,0.053271221060346347,1.0463991584858017,2.039,0.246,2.285,3.382,0.382,3.764,0.75,0.085,0.835,0.181,0.262,-0.0292,4.508,2025-26
Daryl Watts,63,TOR,F,11,202.5,5,2,1,3,0,4.2977538932224375,0.888888888888889,0.819659706226048,-0.6359011380921535,-0.4924563572712032,0.4826928958693229,0.0,0.0,0.0,1.2734085609547963,0.04924563572712032,1.3226541966819165,2.434,0.166,2.6,3.413,0.265,3.678,0.757,0.059,0.816,0.242,0.262,-0.0292,4.508,2025-26
Emily Clark,53,OTT,F,3,47.666666666666664,1,1,1,-1,0,3.7236397584661582,-1.2587412587412588,4.774452632753426,0.24151046251285013,0.3849552433338005,0.5091584771817329,0.0,0.0,0.0,4.687098996670689,-0.03849552433338005,4.648603472337308,3.285,-0.031,3.254,3.515,-0.007,3.508,0.78,-0.002,0.778,0.979,0.262,-0.0292,4.508,2025-26
Jesse Compher,65,TOR,F,5,73.33333333333333,1,0,0,-6,0,3.4349389402429553,-4.909090909090909,2.2444471393275474,-0.48252087473124616,-0.3390760939102958,0.5892857142857143,0.0,0.0,0.0,2.810404587471509,0.03390760939102958,2.8443121968625387,2.76,0.041,2.801,3.115,0.077,3.192,0.691,0.017,0.708,0.579,0.262,-0.0292,4.508,2025-26
Sarah Fillier,205,NY,F,6,114.9,1,1,0,-2,0,3.417671057021914,-1.0443864229765012,1.602795394411848,-0.40476952200166894,-0.2613247411807186,0.4111111111111111,0.0,0.0,0.0,1.7846846250767177,0.02613247411807186,1.8108170991947896,2.36,0.05,2.41,2.916,0.106,3.022,0.647,0.024,0.671,0.35,0.262,-0.0292,4.508,2025-26
Kendall Coyne Schofield,20,MIN,F,15,250.66666666666666,10,5,1,13,0,3.8288246036225373,3.111702127659574,0.5545337048733361,-0.5258655053887,-0.38242072456774967,0.5242021329662908,0.0,0.0,0.0,0.916473974271352,0.03824207245677497,0.954716046728127,1.522,0.16,1.682,2.734,0.282,3.016,0.606,0.063,0.669,0.16,0.262,-0.0292,4.508,2025-26
Ella Huber,243,BOS,F,5,69.7,0,0,0,-1,0,3.0271078871083836,-0.860832137733142,1.6392445986174924,-1.0222547109205358,-0.8788099300995854,0.4890567507619902,0.0,0.0,0.0,2.6058317536083644,0.08788099300995855,2.693712746618323,2.386,0.102,2.488,2.723,0.136,2.859,0.604,0.03,0.634,0.546,0.262,-0.0292,4.508,2025-26
Emily Clark,53,OTT,F,13,228.16666666666666,1,0,0,-4,2,3.7236397584661582,-1.051862673484295,0.997438606988663,-0.1582243923039074,-0.014779611482957006,0.5091584771817329,0.0,0.0,0.0,0.979189417858157,0.0014779611482957007,0.9806673790064527,1.623,0.006,1.629,2.727,0.117,2.844,0.605,0.026,0.631,0.166,0.262,-0.0292,4.508,2025-26
