name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,FA60,FA60_resid,d_adj_FA60,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Laura Stacey,32,MTL,F,48,983.25,20,15,4,18,8,27.139300605109742,1.0983981693363845,0.836442960710943,-0.9076887596528372,-0.819765317949259,0.0,0.0,0.0,1.6560976723179095,0.6476146011799147,2.3037122734978244,11.956,10.613,22.569,19.781,14.293,34.074,3.918,2.831,6.749,0.412,0.449,-0.2246,5.0492,All Seasons
Kendall Coyne Schofield,20,MIN,F,52,965.8499999999999,16,9,12,24,10,24.96566743067922,1.490914738313403,0.8063461507520445,-0.8551588760098047,-0.7672354343062264,0.0,0.0,0.0,1.5509033968429398,0.6061159931019189,2.1570193899448586,10.051,9.757,19.808,17.738,13.372,31.11,3.513,2.648,6.161,0.383,0.449,-0.2246,5.0492,All Seasons
Daryl Watts,63,TOR,F,29,524.6333333333333,12,8,7,-2,12,22.120633105167553,-0.22873117733019888,1.301059650511271,-1.1293677392380674,-1.0414442975344893,0.0,0.0,0.0,2.5298392267171734,0.8227409950522466,3.3525802217694203,14.019,7.194,21.213,18.195,9.158,27.353,3.604,1.814,5.418,0.62,0.449,-0.2246,5.0492,All Seasons
Daryl Watts,63,OTT,F,22,377.26666666666665,10,3,2,-1,6,22.120633105167553,-0.1590386994168581,1.8092752994695966,-1.3973491891341863,-1.3094257474306081,0.0,0.0,0.0,3.518036719323343,1.0344463404701805,4.5524830597935235,16.295,6.504,22.799,19.297,7.916,27.213,3.822,1.568,5.39,0.857,0.449,-0.2246,5.0492,All Seasons
Grace Zumwinkle,25,MIN,F,44,778.0833333333333,15,9,3,0,4,21.71702252311022,0.0,0.8903675240227391,-0.8683405844811161,-0.7804171427775378,0.0,0.0,0.0,1.6746552657855158,0.6165295427942549,2.2911848085797706,9.702,7.995,17.697,15.894,10.907,26.801,3.148,2.16,5.308,0.409,0.449,-0.2246,5.0492,All Seasons
Marie-Philip Poulin,31,MTL,F,50,1026.8833333333332,29,9,11,26,35,22.0630543354334,1.5191599175498678,0.8045156629340087,-0.6513726647429059,-0.5634492230393277,0.0,0.0,0.0,1.2891272232736637,0.4451248862010689,1.7342521094747325,6.206,7.618,13.824,14.379,11.462,25.841,2.848,2.27,5.118,0.299,0.449,-0.2246,5.0492,All Seasons
Natalie Spooner,100,TOR,F,36,660.85,22,7,2,9,4,20.01295970806522,0.817129454490429,0.8411822075367816,-1.0293486846064184,-0.9414252429028401,0.0,0.0,0.0,1.8170198721100297,0.7437259418932437,2.5607458140032735,9.808,8.192,18.0,15.068,10.665,25.733,2.984,2.112,5.096,0.463,0.449,-0.2246,5.0492,All Seasons
Emily Clark,53,OTT,F,51,975.4666666666666,11,13,6,5,18,21.317455904430368,0.307545106615637,0.8361301793047758,-0.6371080485090223,-0.549184606805444,0.0,0.0,0.0,1.3112158497804356,0.4338558393763008,1.7450716891567364,6.254,7.054,13.308,14.018,10.705,24.723,2.776,2.12,4.896,0.301,0.449,-0.2246,5.0492,All Seasons
Hilary Knight,13,BOS,F,28,625.1833333333333,15,7,4,-1,12,22.372808916524455,-0.09597184825784438,1.5252265819162418,-0.6046185400020607,-0.5166950982984825,0.0,0.0,0.0,2.1471598224384327,0.4081891276558012,2.555348950094234,12.719,4.253,16.972,17.694,6.593,24.287,3.504,1.306,4.81,0.462,0.449,-0.2246,5.0492,All Seasons
Hilary Knight,13,BOS,F,23,498.54999999999995,5,3,2,6,6,22.372808916524455,0.7220940728111523,1.9126391306208053,-0.6455887249407359,-0.5576652832371577,0.0,0.0,0.0,2.692545451793135,0.4405555737573546,3.1331010255504896,14.674,3.661,18.335,18.642,5.527,24.169,3.692,1.095,4.787,0.576,0.449,-0.2246,5.0492,All Seasons
