name,player_id,team,pos,gp,toi_min,ixG,FA,ixG60,FA60,FA60_resid,d_adj_FA60,blocks60,blocks60_adj,block_val60,d_value60,value60,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,Season
Natalie Spooner,100,TOR,RW,27,504.9333333333332,11.128000000000002,46.922586307780094,1.322313176656985,5.575696815025362,0.1566894546907394,0.1566894546907395,1.0694481119619754,0.3232579589518991,0.0129303183580759,0.0068194296251371,1.329132606282122,8.565,0.215,8.78,1.891,0.047,1.938,0.23,2023-24
Grace Zumwinkle,25,MIN,F,34,660.7166666666668,10.482000000000005,55.25230402945322,0.9518754887369776,5.017488447040626,0.0704086158140139,0.0704086158140139,0.2724314506974749,-0.157004178210772,-0.0062801671284308,-0.0090261031451774,0.9428493855918002,7.128,0.107,7.235,1.574,0.024,1.598,0.145,2023-24
Laura Stacey,32,MTL,RW,26,617.1833333333333,10.024,62.20480392273559,0.9744916421376688,6.047292649991849,0.0401389212292363,0.0401389212292364,0.9721584618292782,-0.2263481208747577,-0.0090539248349903,-0.0106193427629305,0.9638722993747382,6.891,0.083,6.974,1.521,0.018,1.539,0.15,2023-24
Kendall Coyne Schofield,20,MIN,F,34,676.5,9.666999999999998,55.887924041677046,0.8573835920177382,4.956800358463596,6.313071817642957e-06,6.313071817709499e-06,0.7095343680709534,0.2800987391627064,0.0112039495665082,0.0112037033567073,0.8685872953744456,6.233,0.337,6.57,1.376,0.074,1.45,0.129,2023-24
Hilary Knight,13,BOS,RW,32,761.0,9.869000000000002,74.94301946514113,0.7781077529566361,5.908779458486817,0.0438428049816223,0.0438428049816224,0.8672798948751642,0.359670742961733,0.0143868297184693,0.012676960324186,0.7907847132808222,6.006,0.398,6.404,1.326,0.088,1.414,0.111,2023-24
Alex Carpenter,34,NY,C,24,522.1333333333333,8.389000000000001,61.2007039786166,0.9640066394279878,7.032767311128056,0.0228238951780423,0.0228238951780424,0.8043922369765066,0.0816361727137904,0.0032654469085516,0.0023753149966079,0.9663819544245956,5.738,0.184,5.922,1.267,0.041,1.308,0.15,2023-24
Hayley Scamurra,61,OTT,F,24,464.8,7.952000000000002,44.33730976399465,1.0265060240963857,5.723404874870221,0.0481082248266579,0.0481082248266579,1.419965576592083,0.4324680640116037,0.0172987225604641,0.0154225017922244,1.0419285258886102,5.592,0.264,5.856,1.235,0.058,1.293,0.167,2023-24
Jessie Eldridge,36,NY,RW,24,446.5,7.878,52.56131039584772,1.0586338185890258,7.063110019598798,0.0628947254891911,0.0628947254891912,1.0750279955207167,0.3522719312580005,0.01409087725032,0.0116379829562415,1.0702718015452677,5.611,0.226,5.837,1.239,0.05,1.289,0.173,2023-24
Marie-Philip Poulin,31,MTL,C,24,556.9333333333334,8.236,55.97503455604045,0.8872875269332057,6.030348467852095,0.0142297433534249,0.014229743353425,1.4005266937993774,0.2020201110953415,0.0080808044438136,0.00752584445303,0.8948133713862357,5.409,0.244,5.653,1.194,0.054,1.248,0.134,2023-24
Jamie Lee Rattray,16,BOS,C,30,497.2,7.572000000000001,47.16251574258442,0.9137570394207564,5.691373581164653,-0.1596176837324608,-0.1596176837324607,0.4827031375703942,-0.0249060143430369,-0.0009962405737214,0.0052288490918444,0.9189858885126008,5.048,0.198,5.246,1.114,0.044,1.158,0.14,2023-24
Taylor Heise,21,MIN,F,29,565.6666666666666,7.750000000000001,46.90073853431623,0.8220388921626401,4.974739502755994,0.0143118549504958,0.0143118549504958,0.9546258102533884,0.5251901813451414,0.0210076072538056,0.0204494449107363,0.8424883370733764,4.878,0.369,5.247,1.077,0.081,1.158,0.123,2023-24
Sarah Nurse,75,TOR,LW,29,564.45,7.521,51.84802527746964,0.7994685091682168,5.511350016207243,0.0385917496950024,0.0385917496950025,1.0629816635663034,0.3167915105562271,0.012671660422249,0.0111665821841439,0.8106350913523608,4.656,0.281,4.937,1.028,0.062,1.09,0.116,2023-24
Brianne Jenner,58,OTT,F,24,444.4166666666666,7.058,42.610594827797634,0.9528895555972248,5.752789851118376,0.0699250797235297,0.0699250797235297,0.6750421901368836,-0.3124553224435953,-0.0124982128977438,-0.0152252910069614,0.9376642645902632,4.802,0.026,4.828,1.06,0.006,1.066,0.144,2023-24
Blayre Turnbull,76,TOR,C,29,559.35,7.185999999999999,51.3596960557549,0.7708232770179672,5.50921920683882,0.0335160748981159,0.0335160748981159,1.5017430946634485,0.7555529416533722,0.0302221176661348,0.0289149907451083,0.7997382677630755,4.346,0.444,4.79,0.96,0.098,1.058,0.113,2023-24
Daryl Watts,63,OTT,F,24,417.1,6.725999999999998,40.10350138561788,0.967537760728842,5.768904538808615,0.0875456722238567,0.0875456722238567,0.7192519779429394,-0.2682455346375396,-0.0107298213855015,-0.0141441026022319,0.95339365812661,4.609,0.032,4.641,1.018,0.007,1.025,0.147,2023-24
Emily Clark,53,OTT,F,24,448.0,6.777,43.13606152074111,0.9076339285714288,5.777151096527827,0.0896338325027016,0.0896338325027017,0.5357142857142858,-0.4517832268661931,-0.0180713290746477,-0.021567048542253,0.8860668800291757,4.503,-0.021,4.482,0.994,-0.005,0.989,0.132,2023-24
Maureen Murphy,98,MTL,RW,27,501.3500000000001,7.010000000000001,50.29735915289584,0.8389348758352447,6.019430635631296,-0.0016589702289241,-0.001658970228924,0.7180612346664006,-0.4804453480376353,-0.0192178139215054,-0.0191531140825773,0.8197817617526674,4.465,-0.004,4.461,0.986,-0.001,0.985,0.118,2023-24
Michela Cava,115,MIN,F,34,542.4333333333334,6.625000000000002,44.06747721391405,0.7328089473360783,4.8744213719071645,-0.0951795365067719,-0.0951795365067718,0.3318380138880353,-0.0975976150202116,-0.0039039046008084,-0.0001919026770443,0.7326170446590339,3.871,0.167,4.038,0.855,0.037,0.892,0.099,2023-24
Denisa Křížová,104,MIN,F,34,561.8833333333333,6.702000000000002,46.54165563704085,0.7156645804289149,4.96989174186062,-0.0014716886070035,-0.0014716886070034,0.1067837332779639,-0.322651895630283,-0.0129060758252113,-0.0128486799695381,0.7028159004593767,3.85,0.055,3.905,0.85,0.012,0.862,0.092,2023-24
