name,player_id,team,pos,gp,toi_min,ixG,FA,ixG60,FA60,FA60_resid,d_adj_FA60,blocks60,blocks60_adj,block_val60,d_value60,value60,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60
Laura Stacey,32,MTL,RW,31,640.4000000000001,12.145000000000003,60.06223543781096,1.1378825733916302,5.627317498857991,-0.02216198586330145,-0.02216198586330146,1.2179887570268582,-0.9683402834177162,-0.03873361133670865,-0.03786929388803989,1.1000132795035904,8.98,-0.18,8.8,1.836,-0.037,1.799,0.169
Tereza Vanišová,161,OTT,LW,38,682.5000000000002,12.280000000000005,65.02716039913365,1.0795604395604395,5.716673441682077,-0.0175662283479259,-0.01756622834792591,0.26373626373626363,-0.9260545073533754,-0.037042180294135016,-0.03635709738856591,1.0432033421718736,8.907,-0.175,8.732,1.821,-0.036,1.785,0.157
Marie-Philip Poulin,31,MTL,C,34,706.5333333333334,11.38,66.57710816514634,0.9664087563691262,5.65384009705904,-0.0009378253927844436,-0.000937825392784455,2.4627288167578785,0.27639977631330415,0.011055991052532166,0.011092566242850758,0.9775013226119769,7.888,0.378,8.266,1.612,0.077,1.689,0.143
Kendall Coyne Schofield,20,MIN,LW,38,712.9499999999999,11.538000000000006,59.644216200196055,0.9710077845571223,5.019500626988938,0.02327026081341599,0.023270260813415978,0.8415737428992217,-0.272131649962158,-0.01088526599848632,-0.011792806170209542,0.9592149783869128,8.014,0.109,8.123,1.638,0.022,1.66,0.14
Daryl Watts,63,TOR,LW,34,623.6666666666666,10.845000000000004,55.7732367487463,1.0433458043826835,5.365677506560307,-0.031241602776522215,-0.031241602776522225,1.1544628540887227,-0.6120138120575039,-0.024480552482300157,-0.02326212997401579,1.0200836744086677,7.763,-0.024,7.739,1.587,-0.005,1.582,0.152
Hilary Knight,13,BOS,RW,30,666.4333333333333,10.358000000000002,66.7740921107925,0.9325463912369333,6.0117724103149355,0.02722471897932416,0.027224718979324148,1.9806932426349222,0.48468429933220697,0.01938737197328828,0.018325607933094637,0.950871999170028,7.064,0.437,7.501,1.444,0.089,1.533,0.138
Sarah Fillier,205,NY,RW,30,590.4333333333334,9.359,59.4643754710097,0.9510641901428329,6.042786419455624,0.008223105299289546,0.008223105299289534,1.9307852989329868,0.47685601129333655,0.019074240451733462,0.01875353934506117,0.9698177294878941,6.441,0.391,6.832,1.317,0.08,1.397,0.142
Emily Clark,53,OTT,RW,38,778.9833333333335,9.998000000000005,73.69487601990603,0.7700806606902162,5.676235128514981,-0.06756728039653573,-0.06756728039653574,1.6174928860266584,0.4277021149370194,0.017108084597480776,0.01974320853294567,0.7898238692231618,6.148,0.529,6.677,1.257,0.108,1.365,0.105
Jesse Compher,65,TOR,RW,34,581.9666666666667,7.495,51.83742478057311,0.7727246692250415,5.344370502607916,-0.060910636909943805,-0.06091063690994382,2.5774672088893977,0.8109905427431711,0.03243962170972684,0.03481513654921465,0.8075398057742561,4.619,0.541,5.16,0.944,0.111,1.055,0.109
Sarah Nurse,75,TOR,C,25,454.90000000000015,7.034000000000001,41.36047899455863,0.9277643438118266,5.455328071386056,0.054837564489690016,0.05483756448969,2.3741481644317424,0.6076714982855157,0.024306859931420628,0.022168194916322718,0.9499325387281493,4.786,0.327,5.113,0.978,0.067,1.045,0.138
Blayre Turnbull,76,TOR,C,34,619.5833333333331,8.108,55.71190512803654,0.7851728312037662,5.39510042934584,-0.009796069459815926,-0.009796069459815938,1.3557498318762613,-0.41072683426996537,-0.016429073370798616,-0.016047026661865794,0.7691258045419005,5.046,0.051,5.097,1.031,0.01,1.041,0.101
Brianne Jenner,58,OTT,RW,36,687.4166666666666,8.490000000000004,65.40010869365791,0.7410352770032735,5.7083377693579465,-0.03636212442617029,-0.0363621244261703,0.26184992120257006,-0.927940849887069,-0.03711763399548276,-0.03569951114286212,0.7053357658604115,5.092,-0.169,4.923,1.041,-0.035,1.006,0.088
Jessie Eldridge,36,NY,LW,30,561.45,7.392000000000001,56.53077539208494,0.7899545818861876,6.041226330973544,0.0016848268990001247,0.0016848268990001134,1.3892599519102324,-0.0646693357294178,-0.002586773429176712,-0.0026524816782377164,0.7873021002079499,4.617,0.172,4.789,0.944,0.035,0.979,0.105
Taylor Heise,21,MIN,C,37,688.8333333333333,7.9030000000000005,57.487775159589226,0.6883813210742803,5.007403594834774,0.002440241059357029,0.0024402410593570177,1.1323493830147595,0.018643990153379808,0.0007457596061351923,0.0006505902048202686,0.6890319112791006,4.498,0.248,4.746,0.919,0.051,0.97,0.084
Abby Roque,42,NY,C,30,658.8333333333334,7.8530000000000015,66.33842290480855,0.7151732861118139,6.0414450406605305,-0.00040716044023608733,-0.00040716044023609866,0.8196306602580319,-0.6342986273816184,-0.025371945095264734,-0.025356065838095524,0.6898172202737183,4.597,-0.048,4.549,0.94,-0.01,0.93,0.085
Britta Curl-Salemme,189,MIN,LW,35,604.4,6.726000000000003,49.841354000228385,0.667703507610854,4.947851158196068,-0.057751127568745786,-0.0577511275687458,2.481800132362674,1.3680947395012941,0.054723789580051765,0.05697608355523285,0.7246795911660868,3.739,0.785,4.524,0.764,0.16,0.924,0.092
Grace Zumwinkle,25,MIN,RW,30,556.0833333333335,6.623000000000001,45.11897596930265,0.7146051251311254,4.868224591322929,-0.1359284626920617,-0.1359284626920617,0.9710774763974223,-0.14262791646395745,-0.005705116658558298,-0.0004039066135678908,0.7142012185175575,3.875,0.191,4.066,0.792,0.039,0.831,0.09
Julia Gosling,210,TOR,LW,34,421.90000000000003,5.858000000000001,38.37467571658194,0.833088409575729,5.457408255498735,0.053992319222884944,0.05399231922288493,1.706565536857075,-0.059911129289151745,-0.00239644517156607,-0.004502145621258582,0.8285862639544704,3.773,0.116,3.889,0.771,0.024,0.795,0.113
Shiann Darkangelo,4,OTT,C,37,630.1,6.622999999999999,59.9687838057417,0.630661799714331,5.710406329700844,-0.037704038094246634,-0.03770403809424665,1.428344707189335,0.23855393609969588,0.009542157443987835,0.011012614929663454,0.6416744146439944,3.509,0.336,3.845,0.717,0.069,0.786,0.075
Denisa Křížová,104,MIN,LW,38,576.3333333333334,6.396000000000002,48.412838082211664,0.6658646616541355,5.040087249738634,0.03442814474061662,0.034428144740616604,1.3533834586466165,0.23967806578523676,0.00958712263140947,0.008244424986525422,0.6741090866406609,3.547,0.281,3.828,0.725,0.057,0.782,0.081
Hayley Scamurra,61,TOR,RW,23,318.01666666666665,5.117000000000003,26.71873555091919,0.9654210995230864,5.041006654960908,-0.35832028085076095,-0.35832028085076095,2.075362926471359,0.3088862603251322,0.012355450413005288,0.026329941366184967,0.9917510408892714,3.545,0.251,3.796,0.725,0.051,0.776,0.146
Kelly Pannek,23,MIN,C,38,717.5499999999998,6.805000000000001,60.09401804300752,0.5690195805170374,5.024933569201383,0.016282009490317884,0.016282009490317873,1.5887394606647625,0.47503406780338275,0.01900136271213531,0.018366364342012914,0.5873859448590503,3.259,0.471,3.73,0.666,0.096,0.762,0.064
Sophie Jaques,11,MIN,RD,33,791.6499999999999,7.641000000000001,65.20401501443158,0.5791195604117982,4.941882019662597,-0.06645745674921366,-0.06645745674921368,2.046358870713068,-0.5973934558844723,-0.023895738235378893,-0.02130389742215956,0.5578156629896387,3.728,-0.004,3.724,0.762,-0.001,0.761,0.058
Michela Cava,115,MIN,RW,38,644.8000000000001,6.727000000000001,53.85546864108997,0.6259615384615385,5.011364947992242,0.004472860506514409,0.004472860506514398,0.9305210918114143,-0.18318430104996541,-0.007327372041998617,-0.0075018136017526785,0.6184597248597857,3.54,0.145,3.685,0.724,0.03,0.754,0.07
Hannah Miller,89,TOR,C,33,582.1333333333334,6.446000000000003,53.376778146123584,0.6643838754008248,5.501500267007698,0.09287146217438857,0.09287146217438856,1.03069170865781,-0.7357849574884167,-0.029431398299536667,-0.03305338532433782,0.631330490076487,3.569,-0.117,3.452,0.73,-0.024,0.706,0.073
Alex Carpenter,34,NY,C,26,519.45,5.7040000000000015,53.18586492670285,0.6588507074790645,6.143328319572953,0.09973578469475991,0.0997357846947599,1.8481085763788623,0.39417928873921204,0.01576717154956848,0.011877475946472845,0.6707281834255373,3.137,0.285,3.422,0.641,0.058,0.699,0.081
Shay Maloney,183,BOS,RW,30,396.29999999999995,5.1160000000000005,39.93692444368129,0.7745647236941713,6.0464685001788485,0.05703927041028106,0.05703927041028105,1.8168054504163516,0.32079650711363633,0.012831860284545454,0.010607328738544492,0.7851720524327158,3.157,0.209,3.366,0.645,0.043,0.688,0.104
Lina Ljungblom,201,MTL,LW,33,452.63333333333327,5.296000000000002,42.46950999445096,0.7020251859488921,5.629657411445006,-0.03328980419204855,-0.033289804192048564,2.651152514912733,0.46482347446815875,0.01859293897872635,0.019891241342216245,0.7219164272911083,3.059,0.308,3.367,0.625,0.063,0.688,0.091
