Name,PlayerID,Team,position,GP,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,o_replacement_val60,d_replacement_val60,goals_per_win
Laura Stacey,32,MTL,F,27,528.2166666666667,11,10,1,12,6,9.46645663984656,1.363077020162181,1.224472000417956,1.043593041287072,1.0752924590113784,0.1043593041287072,1.1796517631400856,5.653,0.919,6.572,7.937,1.669,9.606,1.572,0.331,1.903,0.1737,-0.0852,5.0492
Kendall Coyne Schofield,20,MIN,F,28,506.8833333333333,10,5,6,12,4,8.776800597602518,1.4204452043534017,1.3017058165911837,1.1208268574602998,1.0389136932025471,0.11208268574602998,1.150996378948577,5.117,0.947,6.064,7.309,1.667,8.976,1.448,0.33,1.778,0.1737,-0.0852,5.0492
Marie-Philip Poulin,31,MTL,F,30,589.5,19,3,4,17,21,7.1896862544354505,1.7302798982188297,1.7792622684809611,1.5983833093500772,0.7317746823852875,0.15983833093500774,0.8916130133202953,2.934,1.57,4.504,5.483,2.408,7.891,1.086,0.477,1.563,0.1737,-0.0852,5.0492
Hilary Knight,13,BOS,RW,28,625.1833333333333,15,7,4,-1,12,8.890108811231519,-0.09597184825784438,-0.11329722848114843,-0.29417618761203235,0.8532001738272366,-0.029417618761203235,0.8237825550660334,4.377,-0.307,4.07,7.08,0.582,7.662,1.402,0.115,1.517,0.1737,-0.0852,5.0492
Sarah Fillier,205,NY,F,28,568.3166666666666,12,10,7,9,35,7.707037618832018,0.9501744919205843,0.9544356236590985,0.7735566645282146,0.813670061520727,0.07735566645282146,0.8910257279735484,3.604,0.733,4.337,6.061,1.54,7.601,1.2,0.305,1.505,0.1737,-0.0852,5.0492
Daryl Watts,63,TOR,F,29,524.6333333333333,12,8,7,-2,12,8.247537304218916,-0.22873117733019888,-0.295222270901604,-0.47610123003248794,0.9432344588343637,-0.047610123003248794,0.8956243358311149,4.46,-0.416,4.044,6.728,0.329,7.057,1.332,0.065,1.397,0.1737,-0.0852,5.0492
Emily Clark,53,OTT,F,29,565.9499999999999,8,6,3,1,10,7.911896746762036,0.1060164325470448,0.09655954350845193,-0.08431941562243196,0.8387910677722806,-0.008431941562243197,0.8303591262100374,3.826,-0.08,3.746,6.273,0.724,6.997,1.242,0.143,1.385,0.1737,-0.0852,5.0492
Tereza Vanišová,161,OTT,F,29,465.95,14,5,3,-2,36,7.8386880432458685,-0.2575383624852452,-0.36015084671030595,-0.5410298058411899,1.009381441345106,-0.05410298058411899,0.9552784607609871,4.475,-0.42,4.055,6.49,0.242,6.732,1.285,0.048,1.333,0.1737,-0.0852,5.0492
Jesse Compher,65,TOR,F,29,501.3666666666667,8,4,4,1,10,6.564177347551112,0.11967289408948872,0.13928752455390675,-0.04159143457697714,0.7855541004981054,-0.0041591434576977145,0.7813949570404076,2.945,-0.035,2.91,5.112,0.678,5.79,1.012,0.134,1.146,0.1737,-0.0852,5.0492
Hannah Miller,89,TOR,F,28,504.5333333333333,10,7,5,14,8,5.05962752128154,1.6649048625792813,1.784918173389352,1.604039214258468,0.6016998902158279,0.1604039214258468,0.7621038116416747,1.417,1.349,2.766,3.599,2.066,5.665,0.713,0.409,1.122,0.1737,-0.0852,5.0492
