season,PlayerID,name,team,pos,GP,TOI,xG_season,actual_goals,changed_team
2023-24,1,Hannah Brandt,BOS,F,23,403.75,3.1327302969434494,5,False
2023-24,2,Emily Brown,BOS,D,23,443.0833333333333,1.230496890405961,1,False
2023-24,3,Emma Buckles,OTT,D,11,48.38333333333334,0.311387502087909,0,False
2023-24,4,Shiann Darkangelo,BOS,F,24,266.81666666666666,2.2097180625200337,0,True
2023-24,5,Jessica Digirolamo,BOS,D,23,429.01666666666665,1.8352555071811925,0,False
2023-24,7,Kaleigh Fratkin,BOS,D,23,410.3333333333333,0.6413870667381052,2,False
2023-24,8,Loren Gabel,BOS,F,17,226.6,3.9174515395148504,4,False
2023-24,9,Taylor Girard,BOS,F,22,265.1666666666667,2.079812831118939,4,False
2023-24,10,Jess Healey,BOS,D,20,205.43333333333334,0.773608626209184,1,False
2023-24,11,Sophie Jaques,MIN,D,21,493.25,4.991409803141836,2,True
2023-24,12,Megan Keller,BOS,D,23,579.9666666666667,4.099608449941444,4,False
2023-24,13,Hilary Knight,BOS,F,23,498.54999999999995,7.417459217528675,5,False
2023-24,14,Nicole Kosta,BOS,F,9,67.2,0.4264267119915017,1,False
2023-24,15,Alina Muller,BOS,F,23,455.5,5.193452300088899,5,False
2023-24,16,Jamie Lee Rattray,BOS,F,23,369.4,5.980544333828791,2,False
2023-24,17,Theresa Schafzahl,BOS,F,20,269.1166666666667,2.025548884676601,3,False
2023-24,18,Sophie Shirley,BOS,F,19,245.31666666666666,2.3451488979557658,3,False
2023-24,20,Kendall Coyne Schofield,MIN,F,24,458.96666666666664,7.515743834405582,6,False
2023-24,21,Taylor Heise,MIN,F,19,369.6166666666667,4.9457044082815385,4,False
2023-24,23,Kelly Pannek,MIN,F,24,480.0,4.24072431751297,4,False
2023-24,24,Lee Stecklein,MIN,D,24,655.1166666666667,2.371813280825331,2,False
2023-24,25,Grace Zumwinkle,MIN,F,24,452.71666666666664,8.151771106217078,11,False
2023-24,26,Claire Dalton,MTL,F,18,236.41666666666666,2.0241161250925983,5,False
2023-24,27,Jillian Dempsey,MTL,F,22,183.05,1.1130467511381839,1,False
2023-24,29,Kennedy Marchment,MTL,F,9,97.71666666666667,0.9932749499961028,1,False
2023-24,30,Kristin O'Neill,MTL,F,21,390.5,4.400606214011858,4,False
2023-24,31,Marie-Philip Poulin,MTL,F,20,437.3833333333333,5.8645450761222335,10,False
2023-24,32,Laura Stacey,MTL,F,21,455.0333333333333,8.066736678968375,9,False
2023-24,33,Chloe Aurard,NY,F,20,246.36666666666667,1.8166677527110855,1,False
2023-24,34,Alex Carpenter,NY,F,23,495.7833333333333,7.952316058403969,8,False
2023-24,35,Jade Downie-Landry,NY,F,23,319.21666666666664,4.4134263473769595,8,False
2023-24,36,Jessie Eldridge,NY,F,23,425.5833333333333,7.277440654160057,7,False
2023-24,37,Elizabeth Giguere,NY,F,23,290.48333333333335,3.2885754447629933,3,False
2023-24,38,Brooke Hobson,NY,D,23,455.8666666666667,1.490102060893124,1,False
2023-24,39,Alexandra Labelle,NY,F,23,243.65,1.7714172691601338,1,False
2023-24,40,Paetyn Levis,NY,F,22,292.7166666666667,3.0837762398006965,0,False
2023-24,42,Abby Roque,NY,F,23,473.01666666666665,3.6177115575775614,6,False
2023-24,44,Ella Shelton,NY,D,23,605.8333333333334,4.349940986220661,6,False
2023-24,45,Kayla Vespa,NY,F,22,222.83333333333334,1.4278891419221527,2,False
2023-24,46,Olivia Zafuto,NY,D,11,87.35,0.4136635477474674,0,False
2023-24,47,Micah Zandee-Hart,NY,D,17,371.2833333333333,1.7717371454597504,0,False
2023-24,49,Lexie Adzija,OTT,F,21,317.76666666666665,2.695612027282002,7,True
2023-24,50,Ashton Bell,OTT,D,22,494.2333333333333,2.5954967427971973,2,False
2023-24,51,Amanda Boulier,OTT,D,20,349.6166666666667,1.6504571909888435,1,True
2023-24,52,Zoe Boyd,OTT,D,16,238.45,0.6846391206033261,0,False
2023-24,53,Emily Clark,OTT,F,22,409.51666666666665,6.176774043868666,3,False
2023-24,54,Kristin Della Rovere,OTT,F,8,70.8,0.3772182149727521,1,False
2023-24,55,Becca Gilmore,OTT,F,20,235.31666666666666,1.9682880462706802,0,False
2023-24,56,Savannah Harmon,OTT,D,22,562.4833333333333,3.4298194645356306,3,False
2023-24,57,Gabbie Hughes,OTT,F,22,411.54999999999995,5.775115880733276,9,False
2023-24,58,Brianne Jenner,OTT,F,22,404.31666666666666,6.4260199914073555,9,False
2023-24,60,Jincy Roese,OTT,D,22,451.8833333333333,2.007096781162171,0,False
2023-24,61,Hayley Scamurra,OTT,F,22,425.91666666666663,7.539668872716493,4,False
2023-24,62,Aneta Tejralova,OTT,D,21,474.01666666666665,1.3196261320115152,2,False
2023-24,63,Daryl Watts,OTT,F,22,377.26666666666665,6.258858124340165,10,False
2023-24,65,Jesse Compher,TOR,F,23,338.98333333333335,2.666534186460866,1,False
2023-24,66,Maggie Connors,TOR,F,23,356.73333333333335,2.8197009661266437,2,False
2023-24,67,Renata Fast,TOR,D,23,635.2333333333333,3.1771545596963016,3,False
