Season,name,player_id,team,pos,gp,toi_min,ixG,xGA,ixG60,xGA60,xGA60_resid,d_adj_xGA60,blocks60,blocks60_adj,block_val60,d_value60,value60,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60
2023-24,Natalie Spooner,100,TOR,RW,27,504.9333333333332,11.128000000000002,3.986430791299716,1.322313176656985,0.4736978759136183,0.016263989595581327,0.016263989595581334,1.0694481119619754,0.3232579589518991,0.012930318358075966,0.007075282103666686,1.3293884587606515,8.565,0.219,8.784,1.891,0.048,1.939,0.23
2023-24,Grace Zumwinkle,25,MIN,F,34,660.7166666666668,10.482000000000005,4.7153500044586165,0.9518754887369776,0.4282032140870019,0.005702200328361842,0.005702200328361849,0.27243145069747493,-0.157004178210772,-0.00628016712843088,-0.008332959246641146,0.9435425294903365,7.128,0.116,7.244,1.574,0.026,1.6,0.145
2023-24,Laura Stacey,32,MTL,RW,26,617.1833333333333,10.024000000000001,5.460408923413813,0.9744916421376687,0.5308382739944838,-0.0040633568257320285,-0.0040633568257320216,0.9721584618292782,-0.2263481208747577,-0.009053924834990307,-0.00759111637772678,0.9669005257599419,6.891,0.116,7.007,1.521,0.026,1.547,0.15
2023-24,Kendall Coyne Schofield,20,MIN,F,34,676.5,9.666999999999998,4.78350281732037,0.8573835920177382,0.42425745608162924,0.0007250614202306133,0.0007250614202306203,0.7095343680709534,0.2800987391627064,0.011203949566508256,0.010942927455225232,0.8683265194729634,6.233,0.337,6.57,1.376,0.074,1.45,0.129
2023-24,Hilary Knight,13,BOS,RW,32,761.0,9.869000000000002,6.490536659534488,0.7781077529566361,0.5117374501604064,0.002509778334687859,0.002509778334687866,0.8672798948751642,0.359670742961733,0.01438682971846932,0.01348330951798169,0.7915910624746179,6.006,0.411,6.417,1.326,0.091,1.417,0.112
2023-24,Alex Carpenter,34,NY,C,24,522.1333333333333,8.389000000000001,5.428003596238056,0.9640066394279878,0.6237491364420646,0.0017782284710532864,0.0017782284710532933,0.8043922369765066,0.08163617271379041,0.0032654469085516163,0.0026252846589724307,0.9666319240869602,5.738,0.187,5.925,1.267,0.041,1.308,0.15
2023-24,Hayley Scamurra,61,OTT,F,24,464.8,7.952000000000002,3.8563035740941776,1.0265060240963857,0.49780166619115884,0.0049257184827254785,0.004925718482725485,1.4199655765920827,0.4324680640116037,0.01729872256046415,0.015525463906682975,1.0420314880030688,5.592,0.267,5.859,1.235,0.059,1.294,0.167
2023-24,Jessie Eldridge,36,NY,RW,24,446.5,7.878,4.656760930738353,1.0586338185890258,0.6257685461238549,0.004830495666102982,0.004830495666102989,1.0750279955207167,0.3522719312580005,0.01409087725032002,0.012351898810522944,1.0709857173995487,5.611,0.233,5.844,1.239,0.051,1.29,0.173
2023-24,Marie-Philip Poulin,31,MTL,C,24,556.9333333333334,8.236,4.9840139015115845,0.8872875269332057,0.5369418854872428,0.0010884200421904244,0.0010884200421904314,1.4005266937993774,0.20202011109534151,0.00808080444381366,0.007688973228625105,0.8949765001618307,5.409,0.247,5.656,1.194,0.055,1.249,0.135
2023-24,Taylor Heise,21,MIN,F,29,565.6666666666666,7.750000000000001,4.044028879275361,0.8220388921626401,0.4289482606184826,0.005030077866147523,0.0050300778661475296,0.9546258102533883,0.5251901813451414,0.021007607253805655,0.019196779221992543,0.8412356713846327,4.878,0.359,5.237,1.077,0.079,1.156,0.123
2023-24,Jamie Lee Rattray,16,BOS,C,30,497.2,7.572000000000001,4.149807807666241,0.9137570394207564,0.5007813122686534,-0.0069657449394157555,-0.006965744939415749,0.48270313757039424,-0.024906014343036964,-0.0009962405737214785,0.0015114276044681909,0.9152684670252246,5.048,0.169,5.217,1.114,0.037,1.151,0.139
